state,survey_year,dataset_version,plan_award_count,plan_award_programs,plan_award_funding,smart_award_count,atcmtd_award_count,attain_award_count,ss4a_award_count,award_recipients,award_projects,evidence_level,source_notes,source_urls
New Jersey,2022,planning_awards_official_v1,12,"SMART; SS4A",27073671,1,0,0,11,"New Jersey Department of Transportation; multiple SS4A recipients","SMART RIGHT NOW; statewide SS4A awards by state",OfficialAwardVerified,"USDOT FY2022 SMART list shows NJDOT SMART RIGHT NOW at $2,000,000; USDOT FY2022 SS4A awards by state show 11 New Jersey awards totaling $25,073,671.","https://www.transportation.gov/sites/dot.gov/files/2023-03/FY22%20SMART%20Project%20List.pdf; https://www.transportation.gov/sites/dot.gov/files/2023-07/SS4A_FY22_Awards-by-State_7-6-23.pdf"
New Jersey,2023,planning_awards_official_v1,24,"SMART; SS4A",22769616,1,0,0,23,"New Jersey Transit Corporation; multiple SS4A recipients","Artificial Intelligence for Light Rail and Grade Crossing Safety; statewide SS4A awards by state",OfficialAwardVerified,"USDOT FY2023 SMART list shows NJ TRANSIT at $1,625,095; USDOT FY2023 SS4A awards by state show 23 New Jersey awards totaling $21,144,521.","https://www.transportation.gov/sites/dot.gov/files/2024-03/FY23%20SMART%20Project%20List_1.pdf; https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23-SS4A_Awards-by-State-Dec2023.pdf"
Texas,2000,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2001,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2002,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2003,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2004,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2005,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2006,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2007,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2008,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2009,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2010,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2011,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2012,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2013,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2014,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2015,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialProgramNotActive,"No listed SMART, ATCMTD, ATTAIN, or SS4A program award was active for this model year.",""
Texas,2016,planning_awards_official_v1,1,ATCMTD,8939062,0,1,0,0,Houston Texas,ConnectSmart Connecting TSMO and Active Demand Management,OfficialAwardVerified,"FHWA FY2016 ATCMTD award for Houston ConnectSmart.","https://ops.fhwa.dot.gov/fastact/atcmtd/fy16awards/index.htm"
Texas,2017,planning_awards_official_v1,1,ATCMTD,6090221,0,1,0,0,Texas Department of Transportation,Texas Connected Freight Corridors Project,OfficialAwardVerified,"FHWA FY2017 ATCMTD award to Texas DOT for the Texas Connected Freight Corridors Project.","https://ops.fhwa.dot.gov/fastact/atcmtd/2017/awards/index.htm"
Texas,2018,planning_awards_official_v1,1,ATCMTD,6850000,0,1,0,0,Texas Department of Transportation,I-10 Corridor Coalition TPAS,OfficialAwardVerified,"FHWA FY2018 ATCMTD award to Texas DOT for I-10 Corridor Coalition TPAS.","https://ops.fhwa.dot.gov/fastact/atcmtd/2018/awards/index.htm"
Texas,2019,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No Texas award found in the official FHWA FY2019 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2019/awards/index.htm"
Texas,2020,planning_awards_official_v1,1,ATCMTD,4000000,0,1,0,0,City of Dallas,SM Wright Smart Corridor,OfficialAwardVerified,"FHWA FY2020 ATCMTD award to the City of Dallas for the SM Wright Smart Corridor.","https://ops.fhwa.dot.gov/fastact/atcmtd/2020/awards/index.htm"
Texas,2021,planning_awards_official_v1,0,,0,0,0,0,0,,,OfficialNoAwardFound,"No Texas award found in the official FHWA FY2021 ATCMTD award list.","https://ops.fhwa.dot.gov/fastact/atcmtd/2021/awards/index.htm"
Texas,2022,planning_awards_official_v1,30,"SMART; SS4A",76674511,2,0,0,28,"Harris County; Texas Department of Transportation; multiple SS4A recipients","Harris County SMART project; TxDOT Smarter Intersections Pilot Project; statewide SS4A awards by state",OfficialAwardVerified,"USDOT FY2022 SMART list shows two Texas awards totaling $3,900,000; USDOT FY2022 SS4A awards by state show 28 Texas awards totaling $72,774,511.","https://www.transportation.gov/sites/dot.gov/files/2023-03/FY22%20SMART%20Project%20List.pdf; https://www.transportation.gov/sites/dot.gov/files/2023-07/SS4A_FY22_Awards-by-State_7-6-23.pdf"
Texas,2023,planning_awards_official_v1,29,"SMART; SS4A; ATTAIN",62020289,1,0,1,27,"City of Fort Worth; City of Cedar Park; multiple SS4A recipients","Fort Worth Intelligent Micro-Weather Network; Cedar Park Improving Safety and Mobility Through Connectivity; statewide SS4A awards by state",OfficialAwardVerified,"USDOT FY2023 SMART list shows Fort Worth at $2,000,000; USDOT FY2023 SS4A awards by state show 27 Texas awards totaling $55,596,289; FHWA FY2023-2024 ATTAIN list includes Cedar Park at $4,424,000.","https://www.transportation.gov/sites/dot.gov/files/2024-03/FY23%20SMART%20Project%20List_1.pdf; https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23-SS4A_Awards-by-State-Dec2023.pdf; https://ops.fhwa.dot.gov/infrastructure-investment-and-jobs-act/ATTAIN/fy2023-2024/awards/"
