Award Name,state,survey_year,dataset_version,record_type,award_program,award_type,award_recipient,award_project,funding_level,award_amount,award_duration,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes,source_url
NJTPA Regional Comprehensive Safety Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,North Jersey Transportation Planning Authority,NJTPA Regional Comprehensive Safety Action Plan,Federal,1000000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Passaic County Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Passaic County,Passaic County Action Plan,Federal,1000000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Paterson SS4A Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Paterson,Paterson SS4A Action Plan,Federal,320000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Rahway Safe Streets and Roads for All Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Rahway,Rahway Safe Streets and Roads for All Action Plan,Federal,261118,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Township of Woodbridge Safe Streets and Roads for All Action Plan,New Jersey,2022,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of Woodbridge,Township of Woodbridge Safe Streets and Roads for All Action Plan,Federal,200000,1 year planning/demo award,5,30,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/2022-full-award-list; https://thelcpc.org/wp-content/uploads/2023/02/SS4A-2022-Implementation-Grant-Award-Fact-Sheets.pdf
Artificial Intelligence for Light Rail and Grade Crossing Safety,New Jersey,2023,Planning_Analysis_Default,award,SMART,Demonstration,New Jersey Transit Corporation,Artificial Intelligence for Light Rail and Grade Crossing Safety,Federal,1625095,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SMART award source.,https://www.transportation.gov/sites/dot.gov/files/2025-12/FY23%20SMART%20Project%20List%20for%20Website%20v2.pdf
Action Plan to Improve Pedestrian and Bicycle Safety,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of Mahwah,Action Plan to Improve Pedestrian and Bicycle Safety,Federal,80000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Englewood Vision Zero Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Englewood,City of Englewood Vision Zero Action Plan,Federal,200000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Jersey City Planning and Demonstration Activities,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Jersey City,City of Jersey City Planning and Demonstration Activities,Federal,1004000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
City of Newark Planning and Demonstration Activities,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Newark,City of Newark Planning and Demonstration Activities,Federal,800000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Edison Vision Zero Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Edison Township,Edison Vision Zero Action Plan,Federal,320000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Maple Shade Township Safe Streets for All - Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Maple Shade Township,Maple Shade Township Safe Streets for All - Action Plan,Federal,100000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Montclair Township Supplemental Planning & Demonstration SS4A Project,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of Montclair,Montclair Township Supplemental Planning & Demonstration SS4A Project,Federal,438220,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Plainfield Roadway Safety Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Plainfield,Plainfield Roadway Safety Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Pleasantville Safe Streets 4 All Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Pleasantville,Pleasantville Safe Streets 4 All Action Plan,Federal,200000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Red Bank Borough Vision Zero Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Borough of Red Bank,Red Bank Borough Vision Zero Action Plan,Federal,120000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
"SS4A Planning Grant for the Town of Westfield, New Jersey",New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Town of Westfield,"SS4A Planning Grant for the Town of Westfield, New Jersey",Federal,100000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Somers Point Safe Streets Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Somers Point,Somers Point Safe Streets Plan,Federal,192000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
South Orange Vision Zero Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of South Orange Village,South Orange Vision Zero Action Plan,Federal,100000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
The City of Asbury Park Comprehensive Transportation Safety Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,City of Asbury Park,The City of Asbury Park Comprehensive Transportation Safety Action Plan,Federal,160000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Town of Hammonton Road Safety Implementation,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Implementation,Town of Hammonton,Town of Hammonton Road Safety Implementation,Federal,14434301,Multi-year implementation award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/grants/ss4a/fy23-all-funding-awards-by-state; https://njbikeped.org/2023-ss4a-new-jersey/
Township of Belleville Roadway Safety Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of Belleville,Township of Belleville Roadway Safety Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Township of Cherry Hill Safe Streets Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Cherry Hill Township,Township of Cherry Hill Safe Streets Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Township of Edgewater Park Safe Streets for All Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Edgewater Park,Township of Edgewater Park Safe Streets for All Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Township of Lumberton Safe Streets Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Lumberton Township,Township of Lumberton Safe Streets Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Township of Medford Safe Streets for All Supplemental Planning,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Township of Medford,Township of Medford Safe Streets for All Supplemental Planning,Federal,200000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Township of Southampton Safe Streets Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Southampton Township,Township of Southampton Safe Streets Action Plan,Federal,400000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Union Township Comprehensive Safety Action Plan,New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Union Township,Union Township Comprehensive Safety Action Plan,Federal,200000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
"Willingboro Township, Safe Streets and Roads - High Injury Network Study",New Jersey,2023,Planning_Analysis_Default,award,SS4A,Planning/Demonstration,Willingboro Township,"Willingboro Township, Safe Streets and Roads - High Injury Network Study",Federal,96000,1 year planning/demo award,5,32,MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program,OfficialAwardVerified,Official SS4A award source.,https://www.transportation.gov/sites/dot.gov/files/2023-12/FY23_SS4A_PDG-Awards-by-State.pdf
Planning Baseline - No Verified Federal Award,Texas,2000,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,12,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2001,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,12,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2002,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,13,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2003,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,13,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2004,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,14,Long-range transportation plan; TIP/STIP; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2005,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,15,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2006,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,16,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2007,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,17,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2008,Planning_Analysis_Default,planning_baseline,,,,,,0,,3,18,Long-range transportation plan; TIP/STIP; regional ITS architecture,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2009,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,20,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2010,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,21,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2011,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,22,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2012,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,23,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2013,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,24,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2014,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,25,MTP; TIP/STIP; regional ITS architecture; corridor study,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
Planning Baseline - No Verified Federal Award,Texas,2015,Planning_Analysis_Default,planning_baseline,,,,,,0,,4,26,MTP; TIP/STIP; regional ITS architecture; freight corridor plan,MockPlanningFileBaseline,Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only.,
ConnectSmart Connecting TSMO and Active Demand Management,Texas,2016,Planning_Analysis_Default,award,ATCMTD,Deployment,Houston Texas,ConnectSmart Connecting TSMO and Active Demand Management,Federal,8939062,Multi-year deployment award,5,28,MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan,OfficialAwardVerified,Official ATCMTD award source.,https://ops.fhwa.dot.gov/fastact/atcmtd/fy16awards/index.htm
