state,survey_year,dataset_version,plan_award_count,plan_award_programs,plan_award_funding,plan_doc_count,plan_corridor_miles,plan_doc_sources,evidence_level,source_notes
New Jersey,2019,planning_defaults_revised_v2,0,,0,4,24,"MTP; TIP/STIP; regional ITS architecture; corridor study",OfficialNoAwardFound,"Official FY2019 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included."
New Jersey,2020,planning_defaults_revised_v2,0,,0,5,26,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialNoAwardFound,"Official FY2020 ATCMTD list checked; no New Jersey award found. Mock planning-file evidence included."
New Jersey,2021,planning_defaults_revised_v2,1,ATCMTD,8748763,5,28,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"FHWA FY2021 ATCMTD award to South Jersey Transportation Authority for the Smart and Connected Atlantic City Expressway. Mock planning-file evidence included."
New Jersey,2022,planning_defaults_revised_v2,12,"SMART; SS4A",27073671,5,30,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"USDOT FY2022 SMART and SS4A award evidence included. Mock planning-file evidence included."
New Jersey,2023,planning_defaults_revised_v2,24,"SMART; SS4A",22769616,5,32,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"USDOT FY2023 SMART and SS4A award evidence included. Mock planning-file evidence included."
Texas,2000,planning_defaults_revised_v2,0,,0,3,12,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2001,planning_defaults_revised_v2,0,,0,3,12,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2002,planning_defaults_revised_v2,0,,0,3,13,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2003,planning_defaults_revised_v2,0,,0,3,13,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2004,planning_defaults_revised_v2,0,,0,3,14,"Long-range transportation plan; TIP/STIP; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2005,planning_defaults_revised_v2,0,,0,3,15,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2006,planning_defaults_revised_v2,0,,0,3,16,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2007,planning_defaults_revised_v2,0,,0,3,17,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2008,planning_defaults_revised_v2,0,,0,3,18,"Long-range transportation plan; TIP/STIP; regional ITS architecture",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2009,planning_defaults_revised_v2,0,,0,4,20,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2010,planning_defaults_revised_v2,0,,0,4,21,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2011,planning_defaults_revised_v2,0,,0,4,22,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2012,planning_defaults_revised_v2,0,,0,4,23,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2013,planning_defaults_revised_v2,0,,0,4,24,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2014,planning_defaults_revised_v2,0,,0,4,25,"MTP; TIP/STIP; regional ITS architecture; corridor study",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2015,planning_defaults_revised_v2,0,,0,4,26,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan",MockPlanningFileBaseline,"Combined default: no official SMART/ATCMTD/ATTAIN/SS4A award; mock planning-file evidence only."
Texas,2016,planning_defaults_revised_v2,1,ATCMTD,8939062,5,28,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",OfficialAwardVerified,"FHWA FY2016 ATCMTD award for Houston ConnectSmart. Mock planning-file evidence included."
Texas,2017,planning_defaults_revised_v2,1,ATCMTD,6090221,5,30,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",OfficialAwardVerified,"FHWA FY2017 ATCMTD award to Texas DOT for the Texas Connected Freight Corridors Project. Mock planning-file evidence included."
Texas,2018,planning_defaults_revised_v2,1,ATCMTD,6850000,5,32,"MTP; TIP/STIP; regional ITS architecture; freight corridor plan; connected freight plan",OfficialAwardVerified,"FHWA FY2018 ATCMTD award to Texas DOT for I-10 Corridor Coalition TPAS. Mock planning-file evidence included."
Texas,2019,planning_defaults_revised_v2,0,,0,5,34,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialNoAwardFound,"Official FY2019 ATCMTD list checked; no Texas award found. Mock planning-file evidence included."
Texas,2020,planning_defaults_revised_v2,1,ATCMTD,4000000,5,36,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"FHWA FY2020 ATCMTD award to the City of Dallas for the SM Wright Smart Corridor. Mock planning-file evidence included."
Texas,2021,planning_defaults_revised_v2,0,,0,5,38,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialNoAwardFound,"Official FY2021 ATCMTD list checked; no Texas award found. Mock planning-file evidence included."
Texas,2022,planning_defaults_revised_v2,30,"SMART; SS4A",76674511,5,40,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"USDOT FY2022 SMART and SS4A award evidence included. Mock planning-file evidence included."
Texas,2023,planning_defaults_revised_v2,29,"SMART; SS4A; ATTAIN",62020289,5,42,"MTP; TIP/STIP; regional ITS architecture; corridor study; capital improvement program",OfficialAwardVerified,"USDOT FY2023 SMART, SS4A, and FY2023-2024 ATTAIN award evidence included. Mock planning-file evidence included."
